round,budget_req_gib,budget_actual_gib,gen_tok_s,prefill_tok_s,resident_gib,streamed_gib,hit_pct,evictions,disk_s,total_s,free_before_gib,free_after_gib
1,1,1.00,0.61,0.79,0.93,12.13,35,1758,24.3,36.2,9.99,10.18
1,2,2.00,1.33,0.82,0.93,9.34,50,1957,12.2,21.9,10.18,10.22
1,4,4.00,1.82,0.92,0.93,6.69,64,1286,8.8,17.4,10.2,9.85
1,6,6.00,2.74,1.02,0.93,5.53,70,0,4.8,13.7,9.85,9.79
1,8,8.00,3.12,1.06,0.93,5.53,70,0,4.9,12.8,9.8,9.75
1,10,10.00,2.72,0.97,0.93,5.53,70,0,5.6,14.4,9.73,9.65
1,12,12.00,2.87,0.97,0.93,5.53,70,0,5.3,13.9,9.63,9.66
2,1,1.00,1.09,0.97,0.93,12.13,35,1758,12.5,22.8,9.66,9.74
2,2,2.00,1.62,0.92,0.93,9.34,50,1957,9.1,18.4,9.75,9.75
2,4,4.00,2.18,0.94,0.93,6.69,64,1286,6.6,15.9,9.73,9.73
2,6,6.00,2.63,0.92,0.93,5.53,70,0,5.6,14.7,9.71,9.81
2,8,8.00,2.56,0.85,0.93,5.53,70,0,6.2,15.2,9.81,9.83
2,10,10.00,3.05,0.99,0.93,5.53,70,0,5.2,13.3,9.82,9.83
2,12,12.00,2.56,0.96,0.93,5.53,70,0,5.5,14.8,9.82,9.83
3,1,1.00,0.74,0.73,0.93,12.13,35,1758,20.1,33.1,9.81,9.78
3,2,2.00,1.51,1.05,0.93,9.34,50,1957,9.0,18.4,9.78,9.89
3,4,4.00,2.16,1.06,0.93,6.69,64,1286,5.8,15.1,9.89,9.85
3,6,6.00,2.63,1.03,0.93,5.53,70,0,5.1,14.1,9.85,9.86
3,8,8.00,2.53,0.98,0.93,5.53,70,0,5.5,14.4,9.85,9.92
3,10,10.00,2.13,0.72,0.93,5.53,70,0,8.6,17.5,9.93,9.44
3,12,12.00,2.37,0.51,0.93,5.53,70,0,9.9,19.9,9.42,9.6
4,1,1.00,1.19,0.88,0.93,12.13,35,1758,11.8,22.4,9.63,9.33
4,2,2.00,1.75,0.91,0.93,9.34,50,1957,8.6,17.7,9.33,9.49
4,4,4.00,1.63,0.64,0.93,6.69,64,1286,11.4,20.7,9.48,9.48
4,6,6.00,2.10,0.69,0.93,5.53,70,0,8.9,18.0,9.47,9.46
4,8,8.00,2.17,0.66,0.93,5.53,70,0,9.9,19.2,9.46,9.44
4,10,10.00,2.11,0.61,0.93,5.53,70,0,10.6,19.2,9.43,9.34
4,12,12.00,2.92,0.91,0.93,5.53,70,0,6.0,14.2,9.36,9.62
5,1,1.00,0.78,0.84,0.93,12.13,35,1758,19.3,29.6,9.61,9.51
5,2,2.00,2.03,0.78,0.93,9.34,50,1957,8.7,17.3,9.56,9.55
5,4,4.00,1.85,1.05,0.93,6.69,64,1286,7.3,16.5,9.52,9.82
5,6,6.00,2.65,0.36,0.93,5.53,70,0,14.2,22.9,9.82,9.68
5,8,8.00,2.75,1.00,0.93,5.53,70,0,5.3,14.0,10,9.96
5,10,10.00,1.56,0.45,0.93,5.53,70,0,15.6,24.5,9.97,9.92
5,12,12.00,2.36,0.72,0.93,5.53,70,0,8.4,16.9,9.9,9.93
