round,n_gen,budget_gib,gen_tok_s,streamed_gib,hit_pct,evictions,disk_s,total_s,free_before_gib,free_after_gib
1,16,1,0.28,12.13,35,1758,54.8,76.2,0.51,0.89
1,16,2,1.63,9.34,50,1957,11.9,23.4,0.6,1.63
1,16,4,0.25,6.69,64,1286,34.8,99.3,0.3,3.45
1,16,6,0.60,5.53,70,0,10.7,40.9,7.45,4.02
1,16,8,0.38,5.53,70,0,10.6,54.6,1.26,3.08
1,16,12,2.38,5.53,70,0,8.4,18.2,2.65,5.41
1,64,1,0.63,36.88,46,2756,82.6,117.8,3.59,2.5
1,64,2,0.72,24.33,64,3189,51.3,109.0,0.85,12.21
1,64,4,3.91,11.10,84,2285,7.4,23.5,12.19,12.11
1,64,6,4.09,7.57,89,557,6.7,22.6,12.1,12.06
1,64,8,3.37,7.05,90,0,7.2,27.1,12.04,11.97
1,64,12,3.46,7.05,90,0,6.8,26.8,11.96,11.79
1,256,1,1.41,146.72,45,3586,103.4,189.2,11.79,11.79
1,256,2,2.12,96.94,63,4697,64.2,128.0,11.78,11.71
1,256,4,3.45,41.07,84,3723,27.6,81.3,11.7,11.7
1,256,6,4.43,19.84,92,2675,14.2,64.9,11.69,11.7
1,256,8,4.85,12.48,95,1562,9.4,59.7,11.69,11.67
1,256,12,5.29,10.14,96,0,8.2,55.3,11.69,11.68
2,16,1,1.74,12.13,35,1758,7.0,16.2,11.91,11.89
2,16,2,2.18,9.34,50,1957,5.7,14.5,11.89,11.87
2,16,4,2.49,6.69,64,1286,4.3,13.5,11.86,11.86
2,16,6,3.08,5.53,70,0,3.7,12.1,11.83,11.87
2,16,8,2.96,5.53,70,0,3.6,12.6,11.84,11.84
2,16,12,2.90,5.53,70,0,4.0,12.6,11.82,11.82
2,64,1,1.79,36.88,46,2756,21.8,42.7,11.81,11.82
2,64,2,2.31,24.33,64,3189,15.2,34.8,11.81,11.8
2,64,4,3.70,11.10,84,2285,7.4,24.3,11.8,11.8
2,64,6,4.04,7.57,89,557,4.9,22.8,11.79,11.81
2,64,8,3.71,7.05,90,0,4.6,24.2,11.8,11.81
2,64,12,4.22,7.05,90,0,5.3,22.2,11.81,11.81
2,256,1,1.58,146.72,45,3586,100.7,169.1,11.81,11.78
2,256,2,2.15,96.94,63,4697,59.6,126.0,11.77,11.81
2,256,4,2.95,41.07,84,3723,26.7,94.0,11.79,11.79
2,256,6,4.13,19.84,92,2675,13.1,69.0,11.78,11.79
2,256,8,4.47,12.48,95,1562,9.3,64.4,11.78,11.69
2,256,12,4.81,10.14,96,0,9.5,60.1,11.68,10.19
3,16,1,1.70,12.13,35,1758,7.2,16.4,10.83,11.85
3,16,2,2.06,9.34,50,1957,5.8,14.8,11.84,11.87
3,16,4,2.47,6.69,64,1286,4.3,13.5,11.73,11.78
3,16,6,3.19,5.53,70,0,3.4,11.9,11.78,11.76
3,16,8,3.09,5.53,70,0,3.5,12.2,11.77,11.76
3,16,12,2.91,5.53,70,0,3.8,12.4,11.75,11.73
3,64,1,1.79,36.88,46,2756,22.1,43.0,11.74,11.7
3,64,2,2.25,24.33,64,3189,15.4,35.6,11.69,11.7
3,64,4,3.72,11.10,84,2285,7.3,24.1,11.69,11.71
3,64,6,4.44,7.57,89,557,5.0,21.5,11.69,11.65
3,64,8,3.65,7.05,90,0,4.8,24.5,11.64,11.63
3,64,12,4.53,7.05,90,0,4.7,21.0,11.64,11.66
3,256,1,1.58,146.72,45,3586,95.9,168.6,11.64,11.61
3,256,2,2.16,96.94,63,4697,59.7,125.7,11.6,11.56
3,256,4,2.93,41.07,84,3723,26.9,94.7,11.54,11.3
3,256,6,3.61,19.84,92,2675,13.5,77.8,11.29,11.32
3,256,8,3.90,12.48,95,1562,9.4,72.5,11.3,11.32
3,256,12,4.58,10.14,96,0,9.7,62.9,11.31,8.9
